 * Running on http://localhost:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET /static/scripts/index.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET /static/scripts/utils/hash_generator.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET /static/scripts/utils/common.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Dec/2022 17:25:32] "GET /static/res/CloudComputingFaviconLight.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /community HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/res/arrow-down-fill.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/res/arrow-down-fill-hover.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/scripts/community.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/scripts/utils/socket.io.esm.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "POST /query-db-api3 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/res/emotion-sad-line-white.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/res/send-plane-2-fill-hover.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:34] "GET /static/res/send-plane-2-fill.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:35] "POST /query-db-api4 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:37] "POST /query-db-api5 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:25:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Dec/2022 17:25:54] "POST /translate-api HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:14] "GET /community HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:14] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Dec/2022 17:26:14] "POST /query-db-api3 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:15] "POST /query-db-api4 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:17] "POST /query-db-api5 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:17] "POST /query-db-api4 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:19] "POST /query-db-api5 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:19] "POST /query-db-api5 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:19] "POST /query-db-api4 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:20] "POST /query-db-api3 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:20] "POST /query-db-api3 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:23] "POST /query-db-api2 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:28] "POST /query-db-api2 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:29] "GET /community HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:30] "POST /query-db-api3 HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2022 17:26:31] "POST /query-db-api4 HTTP/1.1" 200 -
